SalesOrderNumber;DueDate;ShipDate;OnlineOrderFlag;CustomerID;SalesPersonID;SubTotal;TaxAmt;Freight;TotalDue
SO43659;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29825;279;20565,6206;1971,5149;616,0984;23153,2339
SO43660;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29672;279;1294,2529;124,2483;38,8276;1457,3288
SO43661;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29734;282;32726,4786;3153,7696;985,553;36865,8012
SO43662;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29994;282;28832,5289;2775,1646;867,2389;32474,9324
SO43663;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29565;276;419,4589;40,2681;12,5838;472,3108
SO43664;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29898;280;24432,6088;2344,9921;732,81;27510,4109
SO43665;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29580;283;14352,7713;1375,9427;429,9821;16158,6961
SO43666;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;30052;276;5056,4896;486,3747;151,9921;5694,8564
SO43667;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29974;277;6107,082;586,1203;183,1626;6876,3649
SO43668;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29614;282;35944,1562;3461,7654;1081,8017;40487,7233
SO43669;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29747;283;714,7043;70,5175;22,0367;807,2585
SO43670;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29566;275;6122,082;587,5603;183,6126;6893,2549
SO43671;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29890;283;8128,7876;780,8136;244,0042;9153,6054
SO43672;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;30067;282;6124,182;587,6023;183,6257;6895,41
SO43673;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29844;275;3746,2015;357,9614;111,8629;4216,0258
SO43674;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29596;282;2624,382;251,9407;78,7315;2955,0542
SO43675;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29827;277;5716,3102;546,8759;170,8987;6434,0848
SO43676;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29811;275;14203,458;1363,266;426,0206;15992,7446
SO43677;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29824;278;7793,1108;747,1011;233,4691;8773,681
SO43678;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29889;281;9799,9243;942,074;294,3981;11036,3964
SO43679;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29761;278;1316,0575;125,8032;39,3135;1481,1742
SO43680;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29489;281;11397,4992;1093,6394;341,7623;12832,9009
SO43681;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29661;279;13787,5434;1323,0668;413,4584;15524,0686
SO43682;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29759;275;3875,7229;371,8002;116,1876;4363,7107
SO43683;2011-06-12 00:00:00.000;2011-06-07 00:00:00.000;0;29497;283;42813,4333;4107,1489;1283,484;48204,0662
